Unique_ID,Last Updated,Member,Party,Home State,District,Meeting Type,Date,Time,Time Zone,Location,Street Address,City,State,Zip,Notes
552,"02/17/17, 07:24:44",Anna Eshoo,Democratic,California,CA-18,Town Hall,"Sat, March 4, 2017",10:00 AM - 11:30 PM,CST,Campbell Heritage Theater,1 West Campbell Ave,Campbell,CA,95008,RSVP at eshoorvp@mail.house.gov
553,"02/17/17, 07:24:44",Pete Aguilar,Democratic,California,CA-31,Office Hours,"Tue, March 7, 2017",2:00 PM,PST,James L. Brulte Senior Center,11200 Baseline Rd.,Rancho Cucamonga,CA,91701,Staff. Rep Aguilar not in attendance
554,"02/17/17, 07:25:29",Ami Bera,Democratic,California,CA-7,Office Hours,"Tue, March 7, 2017",10:00 AM,PST,SPL - Southgate Branch,6132 66th Avenue,Sacramento,CA,95823,RSVP Link: https://bera.house.gov/upcomingevents#rsvpforlibraryofficehours
555,"02/17/17, 07:25:33",Mike Thompson,Democratic,California,CA-5,Other,"Sat, April 1, 2017",6:00 PM,PST,Boatique Winery,8255 Red Hills Rd,Kelseyville,CA, ,Unclear what type of event this is; website says More information soon
556,"02/17/17, 07:25:35",Mike Thompson,Democratic,California,CA-5,Other,"Sun, April 23, 2017",5:00 PM,PST,Dan Foley Cultural Center,1499 N Camino Alto,Vallejo,CA, ,Unclear what type of event this is; Website says More information coming soon
557,"02/17/17, 07:25:36",Mike Thompson,Democratic,California,CA-5,Other,"Sun, May 7, 2017",4:30 PM,PST,Wild Oak Saddle Club,550 White Oak Drive,Santa Rosa,CA, ,Unclear what type of event this is; Website says More information coming soon.
558,"02/17/17, 07:25:39",Barbara Lee,Democratic,California,CA-13,Office Hours,Every first and third Thursday of the month.,2:00 PM,PST,Fruitvale,1470 Fruitvale Ave.,Oakland,CA,94601,Staff. Rep Lee not in attendance
559,"02/17/17, 07:25:41",Barbara Lee,Democratic,California,CA-13,Office Hours,Every first and third Wednesday of the month.,2:00 PM,PST,Albany Community Center,1249 Marin Ave.,Albany,CA,94706,Staff. Rep Lee not in attendance
560,"02/17/17, 07:25:42",Barbara Lee,Democratic,California,CA-13,Office Hours,Every second and fourth Thursday of the month.,3:00 PM,PST,Alameda,1550 Oak St. 2nd Floor Staff Room,Alameda,CA,94501,Staff. Rep Lee not in attendance
561,"02/17/17, 07:25:44",Susan Davis,Democratic,California,CA-53,Town Hall,"Wednesday, February 22nd",6:30 pm - 8 pm,PST,Corky McMillin Companies Event Center,2875 Dewey Rd.,San Diego,CA,92106,A How-to-Get-Involved workshop with Reps. Susan Davis and Scott Peters. Crowd size will be limited to room capacity. Priority will be given to those who RSVP. http://act.scottpeters.com/page/s/don-t-agonize-galvanize-
562,"02/17/17, 07:25:45",Scott Peters,Democratic,California,CA-52,Town Hall,"Wednesday, February 22nd",6:30 pm - 8 pm,PST,Corky McMillin Companies Event Center,2875 Dewey Rd.,San Diego,CA,92106,A How-to-Get-Involved workshop with Reps. Susan Davis and Scott Peters. Crowd size will be limited to room capacity. Priority will be given to those who RSVP. http://act.scottpeters.com/page/s/don-t-agonize-galvanize-
563,"02/17/17, 07:25:48",Jared Huffman,Democratic,California,CA-02,Tele-Town Hall,,,,Mobile,,,,CA,Subcribe at https://huffman.house.gov/telephone-town-hall-request
564,"02/17/17, 07:25:50",Jim Himes,Democratic,Connecticut,CT-04,Town Hall,"Tue, February 21, 2017",6:30 PM,EST,Norwalk City Hall,125 East Ave,Norwalk,CT,,
565,,Jim Himes,Democratic,Connecticut,CT-04,Town Hall,"Wed, February 22, 2017",6:30 PM,EST,Bridgeport City Hall,1 University Place,Bridgeport,CT,,
566,,Jim Himes,Democratic,Connecticut,CT-04,Town Hall,"Sat, March 4, 2017",2:30 PM,EST,UConn Stamford,5675 26th Ave. S,Stamford,CT,,
567,,Lisa Blunt Rochester,Democratic,Delaware,DE-AL,Other,"Thu, February 23, 2017",4:00 PM,EST,Wilmington District Office,1105 N Market St,Wilmington,DE,19801,Office opening reception - RSVP Link Here
568,,Dennis Ross,Republican,Florida,FL-15,Town Hall,"Tue, February 21, 2017",5:30 PM,EST,Clermont City Center,"620 W Montrose St
",Clermont,FL,34711,
569,,Marco Rubio,Republican,Florida,Senate,Empty Chair Town Hall,"Wed, February 22, 2017",7:00 PM - 9:00 PM,EST,National Association of Letter Carriers Branch 599,3003 W Cypress St,Tampa,Florida,33609,"Empty Chair event organized by Letter Carriers union.
"
570,,Matt Gaetz,Republican,Florida,FL-1,Other,"Thu, February 23, 2017",4:30 PM,EST,Milton County Commissioners Building,6495 Caroline Street,Milton,FL,32570,Open Gates Day
571,,Matt Gaetz,Republican,Florida,FL-1,Other,"Thu, February 23, 2017",7:00 PM,EST,Oops Bowling Alley,3721 US-90,Pace,FL,32571,
572,,Matt Gaetz,Republican,Florida,FL-1,Other,"Thu, February 23, 2017",12:00 PM,EST,Grover T's Restaurant,5887 US-90,Pace,FL,32583,District office said it was Republican Club/Tea Party lunch
573,,Matt Gaetz,Republican,Florida,FL-1,Tele-town Hall,"Thu, February 23, 2017",8:00 AM,EST,1330AM WEBY Radio, , , , ,number: (850) 623-1330
574,,Daniel Webster,Republican,Florida,FL-11,Other,"Fri, February 24, 2017",11:00 AM,EST,Sumter County Annex Buildings,8015 E. County Rd. 466 Suite B,The Villages,FL,32162,New District Office Open House
575,,Carlos Curbelo,Republican,Florida,FL-26,Tele-town Hall,"Wed, March 29, 2017",7:00 PM,EST,Call-in, , , , ,Constituents can call D.C. or Miami office to retrieve phone number before meeting - Staffer @ Miami Office
576,,Ron DeSantis,Republican,Florida,FL-6,Ticketed Event,"Mon, April 17, 2017",7:00 PM,EST,"Willie Miller Instuctional
Center Auditorium",600 S. Clyse Morris Blvd,Daytona Beach,FL,32114,
577,,David Perdue,Republican,Georgia,Senate,Office Hours,"Mon, February 20, 2017",10:00 AM,EST,Tift County Farm Bureau,1618 Whiddon Mill Rad,Tifton,GA,31793,Staff only. Senator not in attendance.
578,,Buddy Carter,Republican,Georgia,GA-01,Town Hall,"Tue, February 21, 2017",3:00 PM,EST,Armstrong College Center Auditorium,13040 Abercorn St,Savannah,GA,31319,Chatham County Town Hall with Rep. Carter
579,,Buddy Carter,Republican,Georgia,GA-01,Town Hall,"Wed, February 22, 2017",10:30 AM,EST,Coastal Pines Technical College,1777 West Cherry St.,Jessup,GA,31545,
580,,Buddy Carter,Republican,Georgia,GA-01,Town Hall,"Wed, February 22, 2017",2:30 PM,EST,Coastel Pines Technical College,1701 Carswell Ave.,Waycross,GA,31503,
581,,David Perdue,Republican,Georgia,Senate,Office Hours,"Thu, February 23, 2017",10:00 AM,EST,Henry County Farm Bureau,117 Racetrack Road,McDonough,GA,30253,Staff only. Senator not in attendance.
582,,Buddy Carter,Republican,Georgia,GA-01,Town Hall,"Thu, February 23, 2017",10:00 AM,EST,College of Coastal Georgia,1 College Dr.,Brunswick,GA,31520,
583,,Buddy Carter,Republican,Georgia,GA-01,Town Hall,"Thu, February 23, 2017",2:30 PM,EST,College of Coastal Georgia,8001 Lakes Blvd.,Kingsland,GA,31548,
584,,Tom Graves,Republican,Georgia,GA-14,Office Hours,"Tue, February 28, 2017",1:00 PM,EST,"Georgia Northwestern Technical College -- Gordon County Campus, Building 400, Rm 4-103", , , , ,
585,,Hank Johnson,Democratic,Georgia,GA-4,Other,"Fri, March 3, 2017",10:00 AM,EST,Georgia Piedmont Technical College,495 N. Indian Creek Drive,Clarkston,GA,30021,Langugage strongly implies Congressman will be here.  Facebook event here: https://www.facebook.com/events/320180175050593/
586,,Tom Graves,Republican,Georgia,GA-14,Office Hours,"Tue, March 7, 2017",10:00 AM,EST,"Administrative Building, Commissioners Meeting Room",71 Case Avenue,Trenton,GA,30752,"Dade County office hours; also same time and place on 4/4, 6/6, 9/5, and 11/14"
587,,Tulsi Gabbard,Democratic,Hawaii,HI-2,Office Hours,"Fri, February 24, 2017",12:00 PM,,Kailua Public Library,239 Kuulei Rd,Kailua,HI,96734,
588,,Danny K. Davis,Democratic,Illinois,IL-07,Other,"Sat, February 18, 2017",1:00 PM,CST,3rd Unitarian Church,301 N Mayfield Ave,Chicago,IL,60644,Education Advisory Task Force. Hearing on ideas for legislation to help first generation college students.
589,,Brad Schneider,Democratic,Illinois,IL-10,Town Hall,"Sat, February 18, 2017",9:15 AM,CST,Northbrook Public Library,1201 Cedar Lane,Northbrook,IL,60062,
590,,Danny K. Davis,Democratic,Illinois,IL-07,Town Hall,"Thu, February 23, 2017",7:00 PM,CST,Xilin Art Academy,2356 S Wentworth Ave,Chicago,IL,60616,"Immigration Town Hall. Will also have representatives from Immigration & Customs Enforcement, Customs and Borders Protection, and Citizenship and Immigration Services present."
591,,Peter J. Visclosky,Democratic,Indiana,IN-1,Other,"Wed, February 22, 2017",6:00 PM,CST,Valparaiso University ��� Harre Union,1509 Chapel Drive,Valparaiso,IN,46383,"Any Northwest Indiana resident interested in participating in an exercise on how to balance the federal budget!  There is no cost to participating in the budget exercise, but space is limited.  RSVP here - https://visclosky.house.gov/contact-pete/budget-rsvp"
592,,Andre Carson,Democratic,Indiana,IN-7,Office Hours,"Tue, February 28, 2017",11:00 AM,EST,CAFE (Community Alliance of the Far Eastside),8902 East 38th St.,Indianapolis,IN,46226,Likely staff only.
593,,Andre Carson,Democratic,Indiana,IN-7,Office Hours,"Wed, March 29, 2017",3:00 PM,EST,Christamore House Family & Community Center,502 N. Tremont St.,Indianapolis,IN,46222,Likely staff only.
594,,Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Every Thurs,10:00 AM,,Marion City Hall,301 S. Branson St.,Marion,IN,46952,Staff. Rep. Brooks not in attendance
595,,Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,First Tuesday,1:00 PM,,Broad Ripple Fire Station,6330 Guilford Ave.,Indianapolis,IN,46220,Staff. Rep. Brooks not in attendance
596,,Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Second and Fourth Tues,1:00 PM,,Zionsville Town Hall,1100 W. Oak St.,Zionsville,IN,46077,Staff. Rep. Brooks not in attendance
597,,Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Second Tues,9:00 AM,,Fay Biccard Glick Neighborhood Center,2990 W. 71st St.,Indianapolis,IN,46268,Staff. Rep. Brooks not in attendance
598,,Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Second Wed,10:00 AM,,Greentown Utility Office,112 N. Meridian St.,Greentown,IN,46936,Staff. Rep. Brooks not in attendance
599,,Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Second Wed,12:30 PM,,Tipton Co. Economic Development Organization,114 S. Main St.,Tipton,IN,46072,Staff. Rep. Brooks not in attendance
600,,Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Third Wed,1:00 PM,,Hartford City Hall,700 N. Walnut St.,Hartford City,IN,47348,Staff. Rep. Brooks not in attendance
601,,Jackie Walorski,Republican,Indiana ,IN-2,Office Hours,"Tue, February 21, 2017",10:00 AM,"EST
",Francesville Town Hall,100 N Brooks St,Francesville,IN, ,Staff only. Re. Walorski not in attendance.
602,,Jackie Walorski,Republican,Indiana ,IN-2,Office Hours,"Thu, February 23, 2017",9:00 AM,EST,"Peru  City Hall, Board of Works Room",35 S Broadway,Peru,IN, ,Staff only. Re. Walorski not in attendance.
603,,Jackie Walorski,Republican,Indiana ,IN-2,Office Hours,"Thu, February 23, 2017",12:00 PM,EST,"Wabash City Hall, Board Room",202 S Wabash St,Wabash,IN, ,Staff only. Re. Walorski not in attendance.
604,,Jackie Walorski,Republican,Indiana ,IN-2,Office Hours,"Tue, February 28, 2017",1:00 PM,EST,Silver  Lake Town Hall,604 N Jefferson St,Silver Lake,IN, ,Staff only. Re. Walorski not in attendance.
605,,Jackie Walorski,Republican,Indiana ,IN-2,Office Hours,"Tue, February 28, 2017",9:00 AM,EST,"Plymouth City Hall, Council Chambers
",124 N Michigan St,Plymouth,IN, ,Staff only. Re. Walorski not in attendance.
606,,Joni Ernst,Republican,Iowa,Senate,Coffee,"Fri, February 17, 2017",11:30 AM,CT,Betty's Cafe,101 South Lafayette St,Corydon,IA,50060,http://www.ernst.senate.gov/public/index.cfm/2017/2/senator-joni-ernst-to-hold-constituent-coffee
607,,Joni Ernst,Republican,Iowa,Senate,Town Hall,"Tue, February 21, 2017",1:30 PM,CST,"Maquoketa City Hall
",201 East Pleasant Street,Maquoketa,IA,,Jackson County Veterans Roundtable. Roundtable discussion with Iowa veterans and community leaders. Open to public.
608,,Chuck Grassley,Republican,Iowa,Senate,Town Hall,"Tue, February 21, 2017",7:45 AM - 8:45 AM,CST,"Iowa Falls Fire Dept
",218 South River St,Iowa Falls,IA,,Open to public. Sen. Grassley confirmed in attendance.
609,,Chuck Grassley,Republican,Iowa,Senate,Town Hall,"Tue, February 21, 2017",2:15 PM - 3:15 PM,CST,Hancock County Courthouse,855 State St,Garner,IA,,Open to public. Sen. Grassley confirmed in attendance.
610,,Chuck Grassley,Republican,Iowa,Senate,Town Hall,"Thu, February 23, 2017",10:00 AM - 11:00 AM,CST,Floyd County Courthouse,101 S Main St,Charles City,IA,,Open to public. Sen. Grassley confirmed in attendance.
611,,Chuck Grassley,Republican,Iowa,Senate,Town Hall,"Fri, February 24, 2017",8:00 AM - 9:00 AM,CST,Parkersburg Civic Center,502 3rd St,Parkersburg,IA,,Open to public. Sen. Grassley confirmed in attendance.
612,,Pat Roberts,Republican,Kansas,Senate,Ticketed event,"Wed, February 22, 2017",11:30 PM,CST,Wichita Country Club,8501 E 13th St,Wichita,KS,,http://www.eastwichitarotary.org/Speakers/413e2a5b-eb97-49b8-97c1-7e98b29c6c20
613,,Mitch McConnell,Republican,Kentucky,Senate,Ticketed event,"Tue, February 21, 2017",11:00 AM - 1:00 PM,EST,Anthony D. Stratton Building,1026 County Park Rd.,Lawrenceburg,KY,40342,Anderson County Chamber of Commerce Legislative Update. Tickets are $10.00. Please RSVP by 2/7 to Pam Brough at ACCOC@andersonchamber.org
614,,Mitch McConnell,Republican,Kentucky,Senate,Ticketed event,"Wed, February 22, 2017",11:30 AM - 1:30 PM,EST,Louisville Marriott East,1903 Embassy Square Blvd,Jeffersontown,KY,404299,Jeffersontown Chamber of Commerce ticketed luncheon with Sen. McConnell
615,,Mitch McConnell,Republican,Kentucky,Senate,Ticketed Event,"Thu, February 23, 2017",11:30 AM - 1:00 PM,EST,Hotel Covington,638 Madison Avenue,Covington,KY,41011,Joint Northern Kentucky/Cincinnati Chambers' Federal Legislative Priorities Luncheon http://web.nkychamber.com/events/eventdetail.aspx?EventID=2590
616,,Bill Cassidy,Republican,Louisiana,Senate,"Town Hall
","Tue, February 21, 2017",4:00 PM,CST,Live Oak High School Cafeteria,36079 LA-16,Denham Springs,LA,70706,Flood Recovery Town Hall Meeting. All Are Invited!
617,,Bill Cassidy,Republican,Louisiana,Senate,Town Hall,"Wed, February 22, 2017",3:30 PM,CST,East Jefferson Parish Library,4747 West Napoleon Ave,Metairie,LA,70001,
618,,Bill Cassidy,Republican,Louisiana,Senate,Town Hall,"Thu, February 23, 2017",9:00 AM,CST,Assumption Parrish, ,Assumption Parrish,LA,70390,
619,,Bill Cassidy,Republican,Louisiana,Senate,Town Hall,"Fri, February 24, 2017",TBD,CST,St. Martin Parish, , ,LA,70582,
620,,Angus King,Independent,Maine,Senate,Coffee,Every Wednesday,9:00 AM,,"Hart Senate Office Building
",133 Hart Senate Office Building,Washington D.C., ,20002,
621,,John Delaney,Democratic,Maryland,MD-06,Town Hall,"Thu, March 2, 2017",6:00 PM,EST,Northern Middle School,701 Northern Ave,"Hagerstown
",MD,21742,Opioid Addiction Workshop - Register: https://www.eventbrite.com/e/opioid-addiction-workshop-registration-31884217553
622,,John Sarbanes,Democratic,Maryland,MD-3,Office Hours,Every Thursday,11:00 AM  - 1:00 PM,EST,Praisner Community Recreation Center,14906 Old Columbia Pike,Burtonsville,"MD
",20866,Outreach hours. Staff only. Re. Sarbanes not in attendance.
623,,John Sarbanes,Democratic,Maryland,MD-3,Office Hours,Every Tuesday,11:00 AM  - 1:00 PM,EST,Arundel Center,"44 Calvert St, Suite 349",Annapolis,"MD
",21401,Outreach hours. Staff only. Re. Sarbanes not in attendance.
624,,John Sarbanes,Democratic,Maryland,MD-3,Office Hours,Weekdays,9:00 AM - 5:00 PM,EST, ,"600 Baltimore Ave, Suite 303",Towson,"MD
",21204,Outreach hours. Staff only. Re. Sarbanes not in attendance.
625,,Jim McGovern,Democratic,Massachusetts,MA-2,Ticketed Event,"Sat, February 25, 2017",9:00 AM,EST,The Manor Banquet Facility,42 W Boylston St,West Boylston,MA,1583,Worcester County Democratic Organizing Breakfast
626,,Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,First Monday,4:00 PM,EST,Everett City Hall,484 Broadway,Everett,MA,2149,Staff. Rep. Capuano not in attendance
627,,Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,First Thursday,4:00 PM,EST,The Cooperative Bank in Charlestown,201 Main St.,Charlestown,MA,2129,Staff. Rep. Capuano not in attendance
628,,Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,First Tuesday,4:00 PM,EST,Chelsea City Hall,500 Broadway,Chelsea,MA,2150,Staff. Rep. Capuano not in attendance
629,,Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Fourth Friday,3:00 PM,EST,Mattapan Health Center,1575 Blue Hill Ave.,Boston,MA,2126,Staff. Rep. Capuano not in attendance
630,,Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Fourth Thursday,10:00 AM,EST,"Boston Public Library, Adams Village Branch",690 Adams St.,Dorchester,MA,2122,Staff. Rep. Capuano not in attendance
631,,Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Fourth Thursday,10:00 AM,EST,"JP Licks, Brigham Circle",1618 Tremont St.,Boston,MA,2120,Staff. Rep. Capuano not in attendance
632,,Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Fourth Thursday,4:00 PM,EST,Somerville City Hall Alderman's Chamber,93 Highland Ave.,Somerville,MA,2143,Staff. Rep. Capuano not in attendance
633,,Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Second Thursday,12:00 PM,EST,Fenway Community Health Center,1340 Boylston St.,Boston,MA,2215,Staff. Rep. Capuano not in attendance
634,,Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Second Tuesday ,4:00 PM,EST,Maverick Marketplace Business Incubator East Boston Main Streets,154 Maverick St.,Boston,MA,2128,Staff. Rep. Capuano not in attendance
635,,Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Third Friday,11:00 AM,EST,Veronica Smith Senior Center,20 Chestnut Hill Ave.,Brighton,MA,2135,Staff. Rep. Capuano not in attendance
636,,Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Third Thursday,2:30 PM,EST,Bean and Cream,680 Truman Parkway,Hyde Park,MA,2136,Staff. Rep. Capuano not in attendance
637,,Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Third Wednesday,11:00 AM,EST,Fuller Village Library,1372 Brush Hill Rd.,Milton,MA,2186,Staff. Rep. Capuano not in attendance
638,,John Moolenaar,Republican,Michigan,MI-04,Office Hours,"Tue, February 28, 2017",11:30 AM - 12:30 PM,ET,"Isabella County Building, Room 320",200 North Main St,Mount Plesant,MI,48858,Constituent relations representatives will be holding office hours across the district. Fourth District residents who need assistance with a federal agency are invited to attend and no appointment is necessary. https://moolenaar.house.gov/officehours
639,,Gary Peters,Democratic,Michigan,Senate,Coffee,Every Tues when Senate is in session.,9:00 AM - 9:30 AM,EST,Sen. Peters D.C. office,"Hart Senate Office Bldg, Suite 724
",Washington,DC, ,"Michigan constituents in DC register here: https://www.peters.senate.gov/services/coffee-with-gary
"
640,,Betty McCollum,Democratic,Minnesota,MN-04,Town Hall,"Sat, February 18, 2017",10:30 AM - 11:30 AM,CST,Eagan Community Center - The Oaks Room,1501 Central Parkway,Eagan,MN,,RSVP to info@mccollumforcongress.com
